# Height [m];Temperature [K];Wind Speed [m/s];Relative Humidity [%]
1.526104417670682700e+01;2.848289825970548463e+02;2.252360802318595479e+00;7.055254350736278468e+01
1.536144578313253106e+01;2.848273092369477126e+02;2.254725441854893209e+00;7.055672690763053367e+01
1.546184738955823335e+01;2.848256358768406358e+02;2.257074706393127794e+00;7.056091030789826846e+01
1.556224899598393563e+01;2.848239625167335589e+02;2.259408794580309188e+00;7.056509370816600324e+01
1.566265060240963791e+01;2.848222891566264252e+02;2.261727901238329785e+00;7.056927710843373802e+01
1.576305220883534020e+01;2.848206157965193484e+02;2.264032217461539265e+00;7.057346050870147280e+01
1.586345381526104426e+01;2.848189424364122715e+02;2.266321930711240995e+00;7.057764390896922180e+01
1.596385542168674831e+01;2.848172690763051378e+02;2.268597224907201504e+00;7.058182730923695658e+01
1.606425702811245060e+01;2.848155957161980609e+02;2.270858280516306671e+00;7.058601070950469136e+01
1.616465863453815288e+01;2.848139223560909841e+02;2.273105274638451245e+00;7.059019410977242615e+01
1.626506024096385516e+01;2.848122489959838504e+02;2.275338381089784701e+00;7.059437751004016093e+01
1.636546184738955745e+01;2.848105756358767735e+02;2.277557770483389366e+00;7.059856091030790992e+01
1.646586345381525973e+01;2.848089022757696966e+02;2.279763610307505406e+00;7.060274431057564470e+01
1.656626506024096557e+01;2.848072289156625629e+02;2.281956065001376377e+00;7.060692771084337949e+01
1.666666666666666785e+01;2.848055555555554861e+02;2.284135296028808604e+00;7.061111111111111427e+01
1.676706827309237013e+01;2.848038821954484092e+02;2.286301461949526992e+00;7.061529451137884905e+01
1.686746987951807242e+01;2.848022088353413324e+02;2.288454718488406314e+00;7.061947791164659805e+01
1.696787148594377470e+01;2.848005354752341987e+02;2.290595218602644145e+00;7.062366131191433283e+01
1.706827309236947698e+01;2.847988621151271218e+02;2.292723112546965147e+00;7.062784471218206761e+01
1.716867469879517927e+01;2.847971887550200449e+02;2.294838547936909556e+00;7.063202811244980239e+01
1.726907630522088510e+01;2.847955153949129112e+02;2.296941669810283138e+00;7.063621151271753718e+01
1.736947791164658739e+01;2.847938420348058344e+02;2.299032620686828565e+00;7.064039491298528617e+01
1.746987951807228967e+01;2.847921686746987575e+02;2.301111540626179952e+00;7.064457831325302095e+01
1.757028112449799195e+01;2.847904953145916238e+02;2.303178567284159595e+00;7.064876171352075573e+01
1.767068273092369424e+01;2.847888219544845469e+02;2.305233835967471112e+00;7.065294511378849052e+01
1.777108433734939652e+01;2.847871485943774701e+02;2.307277479686850263e+00;7.065712851405622530e+01
1.787148594377509880e+01;2.847854752342703364e+02;2.309309629208718295e+00;7.066131191432396008e+01
1.797188755020080464e+01;2.847838018741632595e+02;2.311330413105391557e+00;7.066549531459170908e+01
1.807228915662650692e+01;2.847821285140561827e+02;2.313339957803893565e+00;7.066967871485944386e+01
1.817269076305220921e+01;2.847804551539490490e+02;2.315338387633419703e+00;7.067386211512717864e+01
1.827309236947791149e+01;2.847787817938419721e+02;2.317325824871492301e+00;7.067804551539491342e+01
1.837349397590361377e+01;2.847771084337348952e+02;2.319302389788859831e+00;7.068222891566264821e+01
1.847389558232931606e+01;2.847754350736277615e+02;2.321268200693166417e+00;7.068641231593039720e+01
1.857429718875501834e+01;2.847737617135206847e+02;2.323223373971448513e+00;7.069059571619813198e+01
1.867469879518072418e+01;2.847720883534136078e+02;2.325168024131479161e+00;7.069477911646586676e+01
1.877510040160642646e+01;2.847704149933064741e+02;2.327102263842013130e+00;7.069896251673360155e+01
1.887550200803212874e+01;2.847687416331993973e+02;2.329026203971954256e+00;7.070314591700133633e+01
1.897590361445783103e+01;2.847670682730923204e+02;2.330939953628493377e+00;7.070732931726908532e+01
1.907630522088353331e+01;2.847653949129852435e+02;2.332843620194232859e+00;7.071151271753682011e+01
1.917670682730923559e+01;2.847637215528781098e+02;2.334737309363341673e+00;7.071569611780455489e+01
1.927710843373493788e+01;2.847620481927710330e+02;2.336621125176771230e+00;7.071987951807228967e+01
1.937751004016064371e+01;2.847603748326639561e+02;2.338495170056554162e+00;7.072406291834002445e+01
1.947791164658634600e+01;2.847587014725568224e+02;2.340359544839217598e+00;7.072824631860777345e+01
1.957831325301204828e+01;2.847570281124497455e+02;2.342214348808341562e+00;7.073242971887550823e+01
1.967871485943775056e+01;2.847553547523426687e+02;2.344059679726285594e+00;7.073661311914324301e+01
1.977911646586345285e+01;2.847536813922355350e+02;2.345895633865106245e+00;7.074079651941097779e+01
1.987951807228915513e+01;2.847520080321284581e+02;2.347722306036696960e+00;7.074497991967871258e+01
1.997991967871485741e+01;2.847503346720213813e+02;2.349539789622167252e+00;7.074916331994646157e+01
2.008032128514056325e+01;2.847486613119142476e+02;2.351348176600486894e+00;7.075334672021419635e+01
2.018072289156626553e+01;2.847469879518071707e+02;2.353147557576418691e+00;7.075753012048193114e+01
2.028112449799196781e+01;2.847453145917000938e+02;2.354938021807758464e+00;7.076171352074966592e+01
2.038152610441767010e+01;2.847436412315929601e+02;2.356719657231900467e+00;7.076589692101740070e+01
2.048192771084337238e+01;2.847419678714858833e+02;2.358492550491755768e+00;7.077008032128514969e+01
2.058232931726907822e+01;2.847402945113788064e+02;2.360256786961032915e+00;7.077426372155288448e+01
2.068273092369478050e+01;2.847386211512716727e+02;2.362012450768911087e+00;7.077844712182061926e+01
2.078313253012048278e+01;2.847369477911645959e+02;2.363759624824108396e+00;7.078263052208835404e+01
2.088353413654618507e+01;2.847352744310575190e+02;2.365498390838377318e+00;7.078681392235608882e+01
2.098393574297188735e+01;2.847336010709503853e+02;2.367228829349435237e+00;7.079099732262383782e+01
2.108433734939758963e+01;2.847319277108433084e+02;2.368951019743348763e+00;7.079518072289157260e+01
2.118473895582329192e+01;2.847302543507362316e+02;2.370665040276386915e+00;7.079936412315930738e+01
2.128514056224899420e+01;2.847285809906291547e+02;2.372370968096356947e+00;7.080354752342704217e+01
2.138554216867469648e+01;2.847269076305220210e+02;2.374068879263445009e+00;7.080773092369477695e+01
2.148594377510040232e+01;2.847252342704149441e+02;2.375758848770558096e+00;7.081191432396252594e+01
2.158634538152610460e+01;2.847235609103078673e+02;2.377440950563204591e+00;7.081609772423026072e+01
2.168674698795180689e+01;2.847218875502007336e+02;2.379115257558907182e+00;7.082028112449799551e+01
2.178714859437750917e+01;2.847202141900936567e+02;2.380781841666168575e+00;7.082446452476573029e+01
2.188755020080321145e+01;2.847185408299865799e+02;2.382440773803005118e+00;7.082864792503346507e+01
2.198795180722891729e+01;2.847168674698794462e+02;2.384092123915050987e+00;7.083283132530121406e+01
2.208835341365461957e+01;2.847151941097723693e+02;2.385735960993259130e+00;7.083701472556894885e+01
2.218875502008032186e+01;2.847135207496652924e+02;2.387372353091192778e+00;7.084119812583668363e+01
2.228915662650602414e+01;2.847118473895581587e+02;2.389001367341931026e+00;7.084538152610441841e+01
2.238955823293172642e+01;2.847101740294510819e+02;2.390623069974596948e+00;7.084956492637215320e+01
2.248995983935742871e+01;2.847085006693440050e+02;2.392237526330512232e+00;7.085374832663990219e+01
2.259036144578313099e+01;2.847068273092368713e+02;2.393844800878996093e+00;7.085793172690763697e+01
