# Range [m]; Height [m]; Real(p) [Pa]; Imag(p) [Pa]
1.968443222225105771e+01;1.181197172019555985e+01;-1.118998366799916350e-03;-1.176187973994004569e-03
1.967457561828623369e+01;1.281780477592183587e+01;-9.891167578808684763e-04;1.021704807140498984e-03
1.970793748026292747e+01;1.382284954263611887e+01;9.111530992579801400e-04;5.464794777733336965e-04
1.968923206685308713e+01;1.479820959938204439e+01;3.197781480572652328e-04;-6.194869903407268898e-04
1.968435393418356583e+01;1.580563987611496657e+01;-2.200335953754906202e-04;-2.195404222846967959e-04
1.969601499876266004e+01;1.680988957898513902e+01;-3.678635495220834478e-04;9.600958892508038950e-06
1.968443538371522195e+01;1.781572961510386222e+01;1.837071264943771759e-05;7.622288240752137694e-04
1.969978229924668867e+01;1.882156956727540731e+01;8.193425162914270673e-04;-4.775365578656839624e-04
1.972270857826410051e+01;1.979692949795024859e+01;-1.004688973991138719e-03;-5.342455466421804468e-04
1.969918499884247254e+01;2.080276956916797104e+01;3.303290993240234810e-04;1.278643179430548425e-03
1.969062560053346544e+01;2.180860959652801156e+01;7.313084713660219106e-04;-1.223035429169557452e-03
1.969206853047354500e+01;2.281444959141368045e+01;-1.312591222296108058e-03;5.888055614603713303e-04
1.969584773998981930e+01;2.382028958050927159e+01;1.370108690461423803e-03;2.688450005639429134e-04
1.969976491979260658e+01;2.479564956859832847e+01;-9.259597925488043243e-04;-9.995246798954675153e-04
1.969561971319789961e+01;2.580148958160564021e+01;2.462204024955849950e-04;1.233013079046899703e-03
1.969754971433082957e+01;2.680732957552976714e+01;3.253724888086745684e-04;-1.099393791557949770e-03
1.970165659135587788e+01;2.781316956355552961e+01;-7.895721929717221471e-04;6.677080108913942703e-04
1.971814942830522810e+01;2.881900951023285984e+01;8.809609213312110526e-04;-2.729025479049383219e-04
1.971287502003988479e+01;2.979436952882477030e+01;-7.972502419529326227e-04;-5.747909221242647270e-05
1.970427496113997634e+01;3.080020955402623883e+01;6.588111743402094017e-04;2.739906992380147636e-04
1.969585604326824324e+01;3.180604958022596307e+01;-3.636097779782894099e-04;-4.880404050615705174e-04
1.968632053116372660e+01;3.281188960809934230e+01;2.206570295510902515e-04;4.566448227046075920e-04
1.970538221211914021e+01;3.381772955082072230e+01;-4.058173009875076711e-05;-4.181095382682316407e-04
1.970690101953617912e+01;3.482356954582589736e+01;-1.266994885792340647e-04;3.155510638082171886e-04
1.968088958109235520e+01;3.579892962561682168e+01;1.815043109235374614e-04;-2.154586951203882209e-04
1.968008985809385081e+01;3.680476962890254811e+01;-1.961923122387932870e-04;8.756730885858204450e-05
1.968906476534541738e+01;3.781060960051062381e+01;1.536166941632978618e-04;4.794616151425067440e-07
1.968103289213474838e+01;3.881644962583209235e+01;-1.149080564822040372e-04;-5.041580233487071976e-05
1.965857986869560392e+01;3.982228969485314707e+01;6.060531971742308876e-05;1.175858558610473365e-04
1.969116340683655864e+01;4.079764959486222864e+01;-3.472831015413857312e-06;-1.710750211484476826e-04
1.969426266574768647e+01;4.180348958540363213e+01;-4.894028389016448477e-05;2.132754063988257453e-04
1.968670014575684490e+01;4.280932960905748530e+01;1.056850309294479290e-04;-2.580338709772082308e-04
1.967774646187118393e+01;4.381516963561479372e+01;-1.868830310199759144e-04;2.562739386879438392e-04
1.971942616377696567e+01;4.482100950783731719e+01;2.589169303898481572e-04;-2.152784520971652408e-04
1.970294499444856484e+01;4.579636955782929419e+01;-3.089502565240869673e-04;1.304941328942095134e-04
1.970333493146827664e+01;4.680220955787755344e+01;3.528797710179346178e-04;-5.972973537805233336e-05
1.969407856707067594e+01;4.780804958578632835e+01;-3.609429273715104229e-04;5.816607348824144407e-05
1.970436031047188408e+01;4.881469165997622639e+01;4.477458876702439944e-04;2.341342361601135306e-05
1.968749517058775922e+01;4.971839350194390761e+01;-4.304170745009183968e-04;-1.310759002155469709e-05
