# Range [m];Height [m];Real(p) [Pa];Imag(p) [Pa]
1.000000000000000000e+04;7.270024847684379893e+03;1.171585779326148968e-05;-5.900517845733685863e-04
1.000000000000000000e+04;7.317387799327342691e+03;-1.475251588217040737e-04;-5.754554402709299550e-04
1.000000000000000000e+04;7.318975831700770868e+03;-1.518281936030455796e-04;-5.727373266100553280e-04
1.000000000000000000e+04;7.366338921434069562e+03;-2.937308507719948135e-04;-5.114518799122014844e-04
1.000000000000000000e+04;7.367926920883581261e+03;-2.974912701307644248e-04;-5.076026778195527741e-04
1.000000000000000000e+04;7.415289945846066985e+03;-4.240044301967677096e-04;-4.176585406377606932e-04
1.000000000000000000e+04;7.416877984424484566e+03;-4.263052504124814190e-04;-4.130578700226991608e-04
1.000000000000000000e+04;7.464240924883543812e+03;-5.175072872045697551e-04;-2.799399799438149952e-04
1.000000000000000000e+04;7.465828975728889418e+03;-5.186988083152030199e-04;-2.748206485043483134e-04
1.000000000000000000e+04;7.513191972220777643e+03;-5.773097248995503507e-04;-1.331616881421380746e-04
1.000000000000000000e+04;7.514779994483785231e+03;-5.769023571656321531e-04;-1.278050153207241954e-04
1.000000000000000000e+04;7.562143085490744852e+03;-5.865937459494530853e-04;3.127083725908337032e-05
1.000000000000000000e+04;7.563731107213668110e+03;-5.848527770872426071e-04;3.623341742732279328e-05
1.000000000000000000e+04;7.611094169292439801e+03;-5.576171848297334930e-04;1.930188172323923684e-04
1.000000000000000000e+04;7.612682253576389485e+03;-5.544724363818463210e-04;1.972629414025594185e-04
1.000000000000000000e+04;7.660045177575782873e+03;-4.775286146846220085e-04;3.380597756544172520e-04
