# Range [m];Height [m];Real(p) [Pa];Imag(p) [Pa]
1.000000000000000000e+04;6.731563299531543635e+03;1.341767226213672959e-04;5.884015479961959534e-04
1.000000000000000000e+04;6.778926230276676506e+03;2.715909357830662636e-04;5.341999224126492592e-04
1.000000000000000000e+04;6.780514280218861131e+03;2.750737797102775989e-04;5.308136489692451927e-04
1.000000000000000000e+04;6.827877340564376027e+03;4.048905228900183742e-04;4.473241228229183687e-04
1.000000000000000000e+04;6.829465333722078867e+03;4.073831341013979404e-04;4.429009525979200109e-04
1.000000000000000000e+04;6.876828422709073493e+03;5.003435767257866920e-04;3.277349578205929030e-04
1.000000000000000000e+04;6.878416439514790909e+03;5.018234349306988605e-04;3.229740864887840316e-04
1.000000000000000000e+04;6.925779423507311549e+03;5.706196059816198837e-04;1.865145327886572513e-04
1.000000000000000000e+04;6.927367501433352118e+03;5.705555176500108974e-04;1.814273249477168289e-04
1.000000000000000000e+04;6.974730431983358358e+03;5.997801842418301870e-04;3.221061119234731434e-05
1.000000000000000000e+04;6.976318503235192111e+03;5.985520740287149323e-04;2.730562567215618174e-05
1.000000000000000000e+04;7.023681498422421100e+03;5.865387102574427585e-04;-1.246687922217147224e-04
1.000000000000000000e+04;7.025269563793825910e+03;5.841680353105886897e-04;-1.291468166140139449e-04
1.000000000000000000e+04;7.072632614201594151e+03;5.315827728035174213e-04;-2.713905592662875120e-04
1.000000000000000000e+04;7.074220714626344488e+03;5.278955208063430523e-04;-2.750043010060533328e-04
1.000000000000000000e+04;7.121583699204762524e+03;4.441896093696740227e-04;-4.053320053630730512e-04
1.000000000000000000e+04;7.123171896307830139e+03;4.398346229245332487e-04;-4.079897965599793672e-04
1.000000000000000000e+04;7.170534701658091763e+03;3.183996903135688115e-04;-4.992834497660156605e-04
1.000000000000000000e+04;7.172123004947656227e+03;3.134882466080510959e-04;-5.006873677845251509e-04
1.000000000000000000e+04;7.219485628323686797e+03;1.722208730028017233e-04;-5.722570167403148158e-04
1.000000000000000000e+04;7.221073952944370831e+03;1.670374363700924652e-04;-5.721385488089532822e-04
1.000000000000000000e+04;7.268436683250972237e+03;1.675905970683652755e-05;-5.913055095078221949e-04
